"Origin","Destination","Number"
"Iraq","Turkey",50510
"Syria","Germany",39332
"Syria","Sweden",30313
"Serbia/Kosovo","Germany",24080
"Serbia/Kosovo","Hungary",21206
"Afghanistan","Turkey",15652
"Mexico","United.States",13987
"China","United.States",13716
"Eritrea","Germany",13198
"Eritrea","Sweden",11057
"El.Salvador","United.States",10093
"Syria","Serbia",9784
"Mali","Italy",9758
"Nigeria","Italy",9689
"Syria","Netherlands",9443
"Afghanistan","Germany",9115
"Guatemala","United.States",9098
"Afghanistan","Hungary",8539
"Gambia","Italy",8492
"Syria","Turkey",8366
"Iran","Turkey",8202
"Albania","Germany",7865
"Syria","Austria",7730
"Stateless","Sweden",7539
"Syria","Denmark",7185
"Pakistan","Italy",7095
"Eritrea","Switzerland",6820
"Syria","Hungary",6749
"Syria","Bulgaria",6202
"Somalia","Germany",5528
"Iraq","Germany",5345
"Afghanistan","Austria",5076
"Bangladesh","Italy",4524
"Russia","Germany",4411
"Pakistan","Germany",3968
"Nigeria","Germany",3924
"Eritrea","Netherlands",3923
"Pakistan","United.Kingdom",3884
"Somalia","Sweden",3783
"Syria","Switzerland",3768
"Russia","France",3596
"Eritrea","United.Kingdom",3271
"Eritrea","Norway",3216
"Iran","Germany",3194
"Syria","France",3129
"Afghanistan","Italy",3104
"Russia","Poland",3082
"Afghanistan","Serbia",3017
"Serbia/Kosovo","France",2969
"Afghanistan","Bulgaria",2949
"Afghanistan","Sweden",2882
"Albania","France",2843
"Stateless","Netherlands",2770
"China","France",2675
"Ukraine","Germany",2657
"Bangladesh","France",2646
"Serbia/Kosovo","Sweden",2578
"Syria","Belgium",2524
"Iran","United.Kingdom",2450
"Syria","United.Kingdom",2404
"Eritrea","Denmark",2293
"Serbia/Kosovo","Austria",2265
"Ukraine","Poland",2160
"Pakistan","France",2130
"Ukraine","Italy",2075
"Syria","Norway",2067
"Russia","Austria",1996
"Gambia","Germany",1912
"Albania","United.Kingdom",1851
"Iraq","Sweden",1743
"Afghanistan","Greece",1711
"Afghanistan","United.Kingdom",1709
"Syria","United.States",1705
"Syria","Spain",1666
"Syria","Montenegro",1649
"Albania","Sweden",1636
"Pakistan","Greece",1623
"Pakistan","Turkey",1597
"Somalia","Norway",1594
"China","Australia",1539
"Mali","France",1473
"Nigeria","United.Kingdom",1425
"Iraq","United.States",1393
"Ukraine","France",1386
"Stateless","Germany",1376
"Nigeria","France",1375
"Stateless","Austria",1314
"Ukraine","United.States",1279
"Ukraine","Sweden",1278
"Stateless","Denmark",1265
"China","Canada",1189
"Bangladesh","United.States",1170
"Somalia","Austria",1162
"Iran","United.States",1108
"Russia","United.States",1107
"Iraq","Austria",1105
"Syria","Cyprus",984
"Iraq","Belgium",965
"Ukraine","Spain",937
"China","United.Kingdom",934
"Iraq","France",904
"Bangladesh","United.Kingdom",898
"Somalia","Netherlands",873
"Iraq","United.Kingdom",865
"Nigeria","Switzerland",848
"Pakistan","Australia",823
"Stateless","Norway",811
"Iraq","Finland",807
"Somalia","Italy",807
"Iran","Sweden",799
"Eritrea","Serbia",798
"Syria","Greece",791
"Somalia","France",787
"Iraq","Italy",781
"Pakistan","Canada",776
"Somalia","Switzerland",769
"Eritrea","Belgium",752
"Syria","Macedonia",746
"Afghanistan","Belgium",744
"Iran","Austria",743
"Pakistan","United.States",733
"Afghanistan","Switzerland",727
"Eritrea","France",723
"Iraq","Netherlands",721
"Russia","Sweden",712
"Somalia","Serbia",707
"Bangladesh","Germany",695
"Somalia","Denmark",688
"Nigeria","Austria",673
"Somalia","Turkey",642
"Bangladesh","Greece",635
"Mali","Spain",619
"Syria","Romania",614
"Afghanistan","France",605
"Afghanistan","Norway",597
"Pakistan","Austria",596
"Nigeria","Canada",578
"Iraq","Canada",576
"Albania","Greece",570
"Iran","Netherlands",562
"Syria","Canada",558
"Nigeria","United.States",548
"Russia","Belgium",536
"Eritrea","United.States",535
"Serbia/Kosovo","Belgium",526
"Russia","Denmark",526
"Mali","Germany",520
"Albania","United.States",515
"Iraq","Bulgaria",507
"Syria","Italy",504
"Afghanistan","Netherlands",490
"Albania","Belgium",487
"Ukraine","Belgium",481
"Eritrea","Italy",476
"Serbia/Kosovo","Switzerland",471
"Iraq","Hungary",470
"China","Germany",466
"Afghanistan","Canada",461
"Ukraine","Austria",455
"Nigeria","Sweden",438
"Ukraine","Czech.Rep.",420
"Iraq","Australia",419
"Somalia","Finland",407
"Pakistan","Korea",396
"Somalia","United.Kingdom",395
"Somalia","United.States",394
"Afghanistan","Macedonia",389
"Iran","Italy",384
"China","Switzerland",376
"Gambia","Switzerland",371
"Ukraine","Canada",360
"China","Korea",360
"Iran","Greece",358
"Pakistan","Sweden",358
"Stateless","United.Kingdom",358
"Nigeria","Greece",332
"Somalia","Canada",331
"Nigeria","Norway",322
"Bangladesh","Canada",321
"Afghanistan","Denmark",321
"Eritrea","Montenegro",316
"Pakistan","Hungary",305
"Syria","Malta",305
"Ukraine","Finland",302
"Pakistan","Ireland",291
"Pakistan","Serbia",289
"Iran","Denmark",285
"Bangladesh","Japan",284
"Iran","Albania",281
"Iraq","Switzerland",279
"Afghanistan","Romania",277
"Afghanistan","United.States",277
"Ukraine","United.Kingdom",274
"Iraq","Serbia",273
"Stateless","France",271
"Gambia","United.Kingdom",270
"Serbia/Kosovo","United.States",269
"Gambia","United.States",269
"Iran","Australia",262
"Somalia","Belgium",260
"Eritrea","Greece",258
"Serbia/Kosovo","Netherlands",254
"Eritrea","Canada",252
"Ukraine","Netherlands",252
"Bangladesh","Australia",250
"Iran","Hungary",249
"China","Austria",248
"Stateless","Bulgaria",246
"Nigeria","Netherlands",235
